character	killed by	death	type	run
<2+> sentries	Simon | Ara | Freya	Murdered and impaled on tree branches by Simon on orders from Ara, led by Freya (plural)
<9+> soldiers	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya (several groups mentioned)
<6+> soldiers	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya (multiple patrols mentioned)
<2+> mages	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya (plural)
Jubar	Simon | Ara | Freya	Beheaded by Simon on orders from Ara, led by Freya
<2> young mages	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya
<200+> soldiers	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya (hundreds mentioned)
<2+> goblins	Simon	Drained of their blood by Simon (plural)
<2+> bears	Simon	Drained of their blood by Simon (plural)
<2+> wolves	Simon	Drained of their blood by Simon (plural)
<2+> goats	Simon	Drained of their blood by Simon (plural)
<2+> deer	Simon	Drained of their blood by Simon (plural)
<29+> goblins	Simon	Slaughtered within the silver mines by Simon (previously known count from run 32)
<3+> warlocks	Simon	Slaughtered by Simon (several mentioned)
<6+> soldiers	Simon	Slaughtered by Simon (minimum counted)
<3+> beatsmen	Simon	Slaughtered and drained of their blood by Simon (several mentioned)
<4+> beatsmen	Simon	Slaughtered and devoured by Simon (pack mentioned)
<2+> watchmen	Simon	Murdered via traps and sabotage by Simon (plural)
<24+> soldiers	Simon	Murdered via traps and sabotage by Simon (dozens mentioned)
<2+> warlocks	Simon	Murdered by Simon (plural)



