character	killed by	death	type	loop
{3+} Zorian Kazinski	Zorian Kazinski	Simulacrums sent to the Academy and eventually dispelled by the original (several mentioned)	clone	103
{3} Oran Skarna		Murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	22 to 24
{3} Taiven		Murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	22 to 24
{3} Urik Kreshna		Murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	22 to 24
{3} Zach Noveda	Oganj	Killed in a fight against Oganj	clone	22 to 24
{3} Zorian Kazinski	Quatach-Ichl | Zorian Kazinski	Simulacrums sacrificed themselves to shield the original from Quatach-Ichl's attacks	clone	127
{3} Zorian Kazinski	Zorian Kazinski	Simulacrums created to conduct a blood magic ritual and eventually dispelled by the original	clone	final
{3} Zorian Kazinski	Zorian Kazinski	Simulacrums created to fight a grey hunter and eventually dispelled by the original	clone	112
{4+} Quatach-Ichl	Quatach-Ichl	Simulacrums created to rob the Eldemar vault and eventually dispelled by the original (two handfuls mentioned)	clone	120
{4+} Zorian Kazinski	Zorian Kazinski	Simulacrums created to steal an airship and eventually dispelled by the original (minimum counted)	clone	120
{4} Zorian Kazinski	Zorian Kazinski	Simulacrums created to cast a dimensionalism spell on the globeh and eventually dispelled by the original	clone	133
{4} Zorian Kazinski	Zorian Kazinski	Simulacrums made after possessing his body to stabilize himself and eventually dispelled by the original	clone	final
{55} Enthusiastic Seeker of Novelty	Panaxeth	Erased alongside the copied world by Panaxeth (55 loops)	clone	1 to 55
{55} Fang of Victory	Panaxeth	Erased alongside the copied world by Panaxeth (55 loops)	clone	1 to 55
{55} Spear of Resolve Striking Straight at the Heart of the Matter	Panaxeth	Erased alongside the copied world by Panaxeth (55 loops)	clone	1 to 55
{55} Watchful Eyes That Miss Nothing of Importance	Panaxeth	Erased alongside the copied world by Panaxeth (55 loops)	clone	1 to 55
{59} Alanic Zosk	Sudomir Kandrei | Panaxeth	Presumably assassinated on orders from Sudomir Kandrei or erased alongside the copied world by Panaxeth (59 loops)	clone	1 to 59
{59} Lukav Teklo	Sudomir Kandrei | Panaxeth	Presumably assassinated on orders from Sudomir Kandrei or erased alongside the copied world by Panaxeth (59 loops)	clone	1 to 59
{5} Alanic Zosk	Sudomir Kandrei	Presumably assassinated on orders from Sudomir Kandrei	clone	122 to 126
{5} Lukav Teklo	Sudomir Kandrei	Presumably assassinated on orders from Sudomir Kandrei	clone	122 to 126
{5} Zach Noveda	Oganj	Killed in a fight against Oganj	clone	17 to 21
{62} Alanic Zosk	Panaxeth	Erased alongside the copied world by Panaxeth (76 loops minus 9 deaths and 5 temporary loops)	clone	61 to 135, except 67, 121, 122 to 126, 133, and 128 to 132 as a temporary looper
{62} Lukav Teklo	Panaxeth	Erased alongside the copied world by Panaxeth (76 loops minus 9 deaths and 5 temporary loops)	clone	61 to 135, except 67, 121, 122 to 126, 133, and 128 to 132 as a temporary looper
{869} Jornak Dokochin	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops, minus 6 loops as a temporary looper)	clone	-874 to 0
{875} Akoja Stroze	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Alachi Gotrum	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Alanic Zosk	Sudomir Kandrei | Panaxeth	Presumably assassinated on orders from Sudomir Kandrei or erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Andir Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Andoril Boranova	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Aneka Ashirai	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Anixa Pravoski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Aread	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Armie Ashirai	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Azlyn Marivoski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Batak	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Benisek	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Briam	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Bridge of Moonlight Connecting Ten Thousand Shores	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Buzzkill	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Byrn Ivarin	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Carabiera Aope	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Chassanah	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Cikan Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Circle of Fortune and Golden Dust	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Daimen Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Edwin	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Elayer Inid	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Elsie	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Enthusiastic Seeker of Novelty	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Estin Grier	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Fang of Victory	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Fortov Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Frozen Thoughts Spanning Across Bottomless Chasms	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ghost	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ghost Serpent	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Glittering River of Stars	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Goliri Ardat	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Gurey Cwili	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Hammerer	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Haslush Ikzeteri	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ibak	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ibery Ambercomb	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ilinim Kam	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ilsa Zileti	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Imaya Kuroshka	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Iroro	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Jade Witelsin	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kael Tverinov	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kalan	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kana Tverinov	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kiana	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kilnfather	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kirielle Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kirithishli Korisova	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kirma	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kopriva Reid	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Krantin Keklos	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kylae Kuosi	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Kyron	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Lukav Teklo	Sudomir Kandrei | Panaxeth	Presumably assassinated on orders from Sudomir Kandrei or erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Marvelous Geode	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Maya	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Memory of Sublime Glories	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Mind Like Fire	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Naim	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Neoluma-Manu Iljatir	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Night Dream	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Nirthak	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Nochka Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Nora 	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Oganj	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Oran Skarna	Panaxeth	Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea or erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Orinus	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Orissa Siqi Taramatula	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Princess	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Quatach-Ichl	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Raynie	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Rea Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Refuge in Void	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Sauh Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Seeker of the Eight Universal Paths	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} She Who Eats Fire and Sees Gold	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Silver One	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Silverlake	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Spear of Resolve Striking Straight at the Heart of the Matter	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Stonechild	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Storm Dream	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Sudomir Kandrei	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Taiven	Panaxeth	Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea or erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Tesen Zveri	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Tinami Aope	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Torun	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Ulanna Taramatula	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Urik Kreshna	Panaxeth	Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea or erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Vani	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Vatimah Tinc	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Vazen	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Veil	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Veyers Boranova	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Violeteye	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Voice of Peace	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Watchful Eyes That Miss Nothing of Importance	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Xvim Chao	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Zenomir Olgai	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Zoltan House Heir	Panaxeth	Erased alongside the copied world by Panaxeth (875 previous loops)	clone	-874 to 0
{875} Zorian Kazinski	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc | Panaxeth	Blown up alongside his residence building by the initial barrage of artillery spells during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc or erased alongside the copied world by Panaxeth (Zach states that Zorian dies to the barrage in all previous loops, calculated 967-92 = 875 loops due to Guardian's information)	clone	-874 to 0
{91} Veyers Boranova	Panaxeth	Erased alongside the copied world by Panaxeth (91 possible loops)	clone	1 to 91
